type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,7840,5,NA,NA,NA,,,classification,NA,2.4 GHZ Indoor Channel Measurements Data Set,,,,,"Measurement of the S21,consists of 10 sweeps, each sweep contains 601 frequency points with spacing of 0.167MHz to cover a 100MHz band centered at 2.4GHz.",2018-11-30,,computer
,,,,434874,4,NA,NA,NA,,,"regression, clustering",NA,"3D Road Network (North Jutland, Denmark) Data Set",,,,,3D road network with highly accurate elevation information (+-20cm) from Denmark used in eco-routing and fuel/Co2-estimation routing algorithms.,2013-04-16,,computer
,,,,1984,8,NA,NA,NA,,,"classification, clustering",NA,3W dataset Data Set,,,,,The first realistic and public dataset with rare undesirable real events in oil wells.,2019-08-15,,computer
,,,,232,16,NA,NA,NA,,,"classification, clustering",NA,: Simulated Data set of Iraqi tourism places Data Set,,,,,"Simulated Data set of Iraqi tourism places with their position (longitude,latitude)and type of interest for each place",2020-01-10,,computer
,,,,590,8265,NA,NA,NA,,,"classification, clustering",NA,A study of  Asian Religious and Biblical Texts Data Set,,,,,"Mainly from Project Gutenberg, we combine Upanishads, Yoga Sutras, Buddha Sutras, Tao Te Ching and Book of Wisdom, Book of Proverbs, Book of Ecclesiastes and Book of Ecclesiasticus",2019-12-24,,social
,,,,150,5,NA,NA,NA,,,clustering,NA,AAAI 2013 Accepted Papers Data Set,,,,,"This data set compromises the metadata for the 2013 AAAI conference's accepted papers (main track only), including paper titles, abstracts, and keywords of varying granularity.",2014-07-30,,computer
,,,,399,6,NA,NA,NA,,,clustering,NA,AAAI 2014 Accepted Papers Data Set,,,,,"This data set compromises the metadata for the 2014 AAAI conference's accepted papers, including paper titles, authors, abstracts, and keywords of varying granularity.",2014-07-30,,computer
,,,,4177,8,NA,NA,NA,,,classification,NA,Abalone Data Set,,,,,Predict the age of abalone from physical measurements,1995-12-01,,life
,,,,300,43,NA,NA,NA,,,causal-discovery,NA,Abscisic Acid Signaling Network Data Set,,,,,The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network.  The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme.,2008-04-03,,life
,,,,740,21,NA,NA,NA,,,"classification, clustering",NA,Absenteeism at work Data Set,,,,,The database was created with records of absenteeism at work from July 2007 to July 2010 at a courier company in Brazil.,2018-04-05,,business
,,,,2747,N/A,NA,NA,NA,,,"classification, clustering",NA,Activities of Daily Living (ADLs) Recognition Using Binary Sensors Data Set,,,,,"This dataset comprises information regarding the ADLs performed by two users on a daily basis in their ",2013-10-28,,computer
,,,,N/A,N/A,NA,NA,NA,,,"classification, clustering",NA,Activity Recognition from Single Chest-Mounted Accelerometer Data Set,,,,,The dataset collects data from a wearable accelerometer mounted on the chest. The dataset is intended for Activity Recognition research purposes.,2014-03-02,,n/a
,,,,42240,6,NA,NA,NA,,,classification,NA,Activity Recognition system based on Multisensor data fusion (AReM) Data Set,,,,,"This dataset contains temporal data from a Wireless Sensor Network worn by an actor performing the activities: bending, cycling, lying down, sitting, standing, walking.",2016-05-18,,computer
,,,,4480,533,NA,NA,NA,,,classification,NA,Activity recognition using wearable physiological measurements Data Set,,,,,"This dataset contains features from Electrocardiogram (ECG), Thoracic Electrical Bioimpedance (TEB) and the Electrodermal Activity (EDA) for activity recognition.",2019-12-04,,life
,,,,75128,9,NA,NA,NA,,,classification,NA,Activity recognition with healthy older people using a batteryless wearable sensor Data Set,,,,,"Sequential motion data from 14 healthy older people aged 66 to 86 years old using a batteryless, wearable sensor on top of their clothing for the recognition of activities in clinical environments.",2016-12-12,,life
,,,,120,6,NA,NA,NA,,,classification,NA,Acute Inflammations Data Set,,,,,"The data was created by a medical expert as a data set to test the expert system, ",2009-02-11,,life
,,,,48842,14,NA,NA,NA,,,classification,NA,Adult Data Set,,,,,"Predict whether income exceeds $50K/yr based on census data.  Also known as ""Census Income"" dataset.",1996-05-01,,social
,,,,10000,14,NA,NA,NA,,,"classification, regression, causal-discovery",NA,AI4I 2020 Predictive Maintenance Dataset Data Set,,,,,The AI4I 2020 Predictive Maintenance Dataset is a synthetic dataset that reflects real predictive maintenance data encountered in industry.,2020-08-30,,computer
,,,,9358,15,NA,NA,NA,,,regression,NA,Air Quality Data Set,,,,,Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.,2016-03-23,,computer
,,,,9358,15,NA,NA,NA,,,regression,NA,Air Quality Data Set,,,,,Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.,2016-03-23,,computer
,,,,1503,6,NA,NA,NA,,,regression,NA,Airfoil Self-Noise Data Set,,,,,"NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.",2014-03-04,,physical
,,,,125,8,NA,NA,NA,,,"classification, regression, clustering",NA,Alcohol QCM Sensor Dataset Data Set,,,,,"Five different QCM gas sensors are used, and five different gas measurements (1-octanol, 1-propanol, 2-butanol, 2-propanol and 1-isobutanol) are conducted in each of these sensors.",2019-07-22,,computer
,,,,244,12,NA,NA,NA,,,"classification, regression",NA,Algerian Forest Fires Dataset   Data Set,,,,,The dataset includes 244 instances that regroup a data of two regions of Algeria.,2019-10-22,,life
,,,,30000,20000,NA,NA,NA,,,"regression, clustering, causal-discovery",NA,Amazon Access Samples Data Set,,,,,Amazon's InfoSec is getting smarter about the way Access data is leveraged. This is an anonymized sample of access provisioned within the company.,2011-09-13,,business
,,,,1500,10000,NA,NA,NA,,,classification,NA,Amazon Commerce reviews set Data Set,,,,,The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.,2011-06-11,,physical
,,,,189,23,NA,NA,NA,,,classification,NA,Amphibians Data Set,,,,,The dataset is a multilabel classification problem. The goal is to predict the presence of amphibians species near the water reservoirs based on features obtained from GIS systems and satellite images,2020-07-17,,life
,,,,798,38,NA,NA,NA,,,classification,NA,Annealing Data Set,,,,,Steel annealing data,N/A,,physical
,,,,37711,294,NA,NA,NA,,,recommender-systems,NA,Anonymous Microsoft Web Data Data Set,,,,,Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.,1998-11-01,,computer
,,,,1850,2,NA,NA,NA,,,classification,NA,Anticancer peptides Data Set,,,,,Peptides with experimental annotations on their anticancer action on breast and lung cancer cells.,2019-10-11,,life
,,,,7195,22,NA,NA,NA,,,"classification, clustering",NA,Anuran Calls (MFCCs) Data Set,,,,,"Acoustic features extracted from syllables of anuran (frogs) calls, including the family, the genus, and the species labels (multilabel).",2017-02-24,,life
,,,,10000,22,NA,NA,NA,,,"classification, regression, clustering",NA,Apartment for rent classified Data Set,,,,,This is a dataset of classified for apartments for rent in USA.,2019-12-26,,business
,,,,19735,29,NA,NA,NA,,,regression,NA,Appliances energy prediction Data Set,,,,,Experimental data used to create regression models of appliances energy use in a low energy building.,2017-02-15,,computer
,,,,60000,171,NA,NA,NA,,,classification,NA,APS Failure at Scania Trucks Data Set,,,,,The datasets' positive class consists of component failures for a specific component of the APS system. The negative class consists of trucks with failures for components not related to the APS.,2017-12-08,,computer
,,,,900,10000,NA,NA,NA,,,classification,NA,Arcene Data Set,,,,,ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.,2008-02-29,,life
,,,,452,279,NA,NA,NA,,,classification,NA,Arrhythmia Data Set,,,,,Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.,1998-01-01,,life
,,,,6000,7,NA,NA,NA,,,classification,NA,Artificial Characters Data Set,,,,,Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet,1992-07-01,,computer
,,,,226,N/A,NA,NA,NA,,,classification,NA,Audiology (Original) Data Set,,,,,Nominal audiology dataset from Baylor,1987-12-03,,life
,,,,226,69,NA,NA,NA,,,classification,NA,Audiology (Standardized) Data Set,,,,,Standardized version of the original audiology database,1992-08-18,,life
,,,,777,18,NA,NA,NA,,,classification,NA,Audit Data Data Set,,,,,Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.,2018-07-14,,n/a
,,,,6650,15,NA,NA,NA,,,classification,NA,Australian Sign Language signs Data Set,,,,,This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.,1999-04-20,,n/a
,,,,2565,22,NA,NA,NA,,,classification,NA,Australian Sign Language signs (High Quality) Data Set,,,,,This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers,2002-02-26,,n/a
,,,,704,21,NA,NA,NA,,,classification,NA,Autism Screening Adult Data Set,,,,,Autistic Spectrum Disorder Screening Data for Adult. This dataset is related to classification and predictive tasks.,2017-12-24,,social
,,,,104,21,NA,NA,NA,,,classification,NA,Autistic Spectrum Disorder Screening Data for Adolescent    Data Set,,,,,Autistic Spectrum Disorder Screening Data for Adolescent. This dataset is related to classification and predictive tasks.,2017-12-24,,life
,,,,292,21,NA,NA,NA,,,classification,NA,Autistic Spectrum Disorder Screening Data for Children   Data Set,,,,,Children screening data for autism suitable for classification and predictive tasks,2017-12-24,,life
,,,,398,8,NA,NA,NA,,,regression,NA,Auto MPG Data Set,,,,,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption",1993-07-07,,n/a
,,,,205,26,NA,NA,NA,,,regression,NA,Automobile Data Set,,,,,From 1985 Ward's Automotive Yearbook,1987-05-19,,n/a
,,,,N/A,N/A,NA,NA,NA,,,classification,NA,AutoUniv Data Set,,,,,"AutoUniv is an advanced data generator for classifications tasks. The aim is to reflect the nuances and heterogeneity of real data.  Data can be generated in .csv, ARFF or C4.5 formats.",2010-11-03,,n/a
,,,,20867,10,NA,NA,NA,,,classification,NA,Avila Data Set,,,,,"The Avila data set has been extracted from 800 images of the 'Avila Bible', an XII century giant Latin copy of the Bible.  The prediction task consists in associating each pattern to a copyist.",2018-06-20,,computer
,,,,5665,17,NA,NA,NA,,,classification,NA,Bach Choral Harmony Data Set,,,,,"The data set is composed of 60 chorales (5665 events) by J.S. Bach (1675-1750).",2014-05-20,,n/a
,,,,100,6,NA,NA,NA,,,n/a,NA,Bach Chorales Data Set,,,,,Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp,N/A,,n/a
,,,,294,1,NA,NA,NA,,,classification,NA,Badges Data Set,,,,,"Badges labeled with a ""+"" or ""-"" as a function of a person's name",1994-09-01,,n/a
,,,,8000000,100000,NA,NA,NA,,,clustering,NA,Bag of Words Data Set,,,,,This data set contains five text collections in the form of bags-of-words.,2008-03-12,,n/a
