"","Terms of Use","Topics","Publisher","Contact","Share on Social Sites","Access & Use Information","Metadata Created Date","Metadata Updated Date","Resource Type","Unique Identifier","Maintainer","Identifier","Data First Published","Data Last Modified","Category","Public Access Level","Metadata Context","Metadata Catalog ID","Schema Version","Catalog Describedby","Homepage URL","Source Datajson Identifier","Source Hash","Source Schema Version"
"1","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 20, 2020","November 20, 2020","November 20, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/7yq2-hq9c","2019-01-07","2020-11-15","Social Services","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/7yq2-hq9c","True","4568caa98a8fbfb48fe4026f563947a90b5260da","1.1"
"2","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","December 4, 2020","December 4, 2020","December 4, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/82zj-84is","2018-05-02","2020-12-01","Environment","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/82zj-84is","True","ea13ef246274249e7a5f8b2f5bda26c81767d505","1.1"
"3","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/825b-niea","2011-10-11","2019-05-15","Education","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/825b-niea","True","510ec70aa58cfadb0427fd41111b2b072e2222cf","1.1"
"4","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 20, 2020","November 20, 2020","November 20, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/fdkv-4t4z","2020-02-12","2020-11-17","City Government","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/fdkv-4t4z","True","e157859cc9db23e7d3a51f08d7e541068f6720e3","1.1"
"5","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/82rt-zc4y","2011-10-14","2019-05-15","Education","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/82rt-zc4y","True","189616a1987d6819950b68647ebb7cf790b7196e","1.1"
"6","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/7yds-6i8e","2011-10-14","2019-02-11","Education","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/7yds-6i8e","True","c524d86e947a78b23af33a64359249f8cf201976","1.1"
"7","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","Annette","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/7w9p-j93r","2018-03-23","2018-09-10","Education","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/7w9p-j93r","True","14eb54b6e99bb744b304a5e3f8b5e91cd60e39e2","1.1"
"8","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/7xq6-k6zy","2018-01-09","2020-02-08","City Government","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/7xq6-k6zy","True","542c71bb1401dfa249c689122d2904f9a199a6c7","1.1"
"9","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/7yhi-h8kc","2011-08-16","2018-09-10","Recreation","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/7yhi-h8kc","True","8e70ce502d422e61bf0d3f6c47e255db3e817afc","1.1"
"10","Terms of Use","Agriculture, Climate, Energy, Local Government, Maritime, Ocean, Older Adults Health","data.cityofnewyork.us","NYC OpenData","Twitter Facebook","Public, Non-Federal, License","November 10, 2020","November 10, 2020","November 10, 2020","data.cityofnewyork.us","Unknown","https://data.cityofnewyork.us/api/views/833y-fsy8","2020-06-30","2020-07-15","Public Safety","public","https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld","https://data.cityofnewyork.us/data.json","https://project-open-data.cio.gov/v1.1/schema","https://project-open-data.cio.gov/v1.1/schema/catalog.json","https://data.cityofnewyork.us/d/833y-fsy8","True","046d887ff5ef12363bdd406e49776e1d38356897","1.1"
